Ano;ID;RA;Fase;INDE 2022;Pedra 2022;Turma;Nome;Ano nasc;Idade no ano;Gênero;Ano ingresso;Instituição de ensino;Pedra 20;Pedra 21;Pedra 22;Pedra 23;INDE 22;INDE 23;Ranking Geral ;Ranking na Fase;Ranking Turma;Nº Av;Avaliador1;Recomendação Av1;Avaliador2;Recomendação Av2;Avaliador3;Recomendação Av3;Avaliador4;Recomendação Av4;Auto Avaliação;Engajamento;Psicossocial;Psicopedagógico;Rec Psicologia;Indicador de Aprendizagem;Matem;Portug;Inglês;Indicado;Atingiu PV;Ponto de Virada;Adequaça o ao Ní vel;Fase ideal;Defas;Destaque IEG;Destaque IDA;Destaque IPV;Destaque IPV;Escola;Ativo/ Inativo;Ativo/ Inativo
2022;21;RA-21;7;6,9;Ágata;D;Aluno-21;2004;18;Menino;2022;Escola Pública;;;Ágata;;6,9;;508;9;6;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;9,6;9,2;7,5;;Não atendido;3,8;7,0;0,5;;Sim;Não;7,3;5,0;Fase 8 (Universitários);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;22;RA-22;6;7,5;Ametista;A;Aluno-22;2005;17;Menina;2019;Rede Decisão;Ametista;Ágata;Ametista;;7,5;;327;10;10;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase;8,3;7,4;8,1;;Sem limitações;6,7;9,0;3,1;7,8;Não;Sim;8,8;5,0;Fase 7 (3º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;23;RA-23;6;7,7;Ametista;A;Aluno-23;2005;17;Menino;2021;Escola Pública;;Ametista;Ametista;;7,7;;243;8;8;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;8,3;8,2;8,1;;Sem limitações;6,7;7,2;4,7;8,2;Sim;Sim;8,6;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;24;RA-24;6;8,1;Topázio;A;Aluno-24;2005;17;Menina;2021;Rede Decisão;;Topázio;Topázio;;8,1;;119;5;5;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9,2;7,9;6,9;;Requer avaliação;8,6;10,0;6,3;9,7;Não;Sim;9,1;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;25;RA-25;6;8,0;Ametista;A;Aluno-25;2005;17;Menina;2021;Escola Pública;;Topázio;Ametista;;8,0;;147;6;6;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,3;8,3;8,8;;Sem limitações;6,9;9,2;3,8;7,7;Sim;Sim;9,7;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;26;RA-26;6;8,7;Topázio;A;Aluno-26;2005;17;Menino;2022;Escola Pública;;;Topázio;;8,7;;17;3;3;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9,6;8,8;10,0;;Sem limitações;8,0;9,5;4,4;10,0;Sim;Sim;10,0;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;27;RA-27;6;7,1;Ametista;A;Aluno-27;2005;17;Menino;2016;Rede Decisão;Topázio;Ametista;Ametista;;7,1;;449;12;12;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;;7,6;8,1;;Sem limitações;8,0;7,7;6,3;10,0;Não;Sim;9,1;5,0;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;28;RA-28;6;6,2;Ágata;A;Aluno-28;2005;17;Menina;2019;Escola Pública;Ametista;Ametista;Ágata;;6,2;;698;14;14;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Promovido de Fase;7,9;6,1;7,5;;Requer avaliação;5,0;8,2;1,5;5,3;Não;Não;6,3;5,0;Fase 7 (3º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
2022;29;RA-29;6;5,0;Quartzo;A;Aluno-29;2005;17;Menino;2022;Escola Pública;;;Quartzo;;5,0;;821;16;16;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase + Bolsa;Avaliador-28;Mantido na Fase atual;Avaliador-31;Alocado em Fase anterior;;4,0;8,8;;Requer avaliação;3,7;6,3;1,1;3,8;Sim;Não;7,6;5,0;Fase 7 (3º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;;;;
2022;30;RA-30;6;7,6;Ametista;A;Aluno-30;2006;16;Menina;2021;Escola Pública;;Ametista;Ametista;;7,6;;270;9;9;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase;8,8;6,4;7,5;;Sem limitações;7,5;8,5;4,4;9,7;Não;Não;7,3;10;Fase 6 (2º EM);0;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;;;;
